Molybdenum Emissivity
----------------------------------
Temperature	Emissivity
----------------------------------
300		0.0600
373     0.0710
600		0.0900
1000	0.1040
1200    0.1270
1400    0.1540
1600    0.1780
1800    0.1990
2000    0.2190
2200    0.2430
2400    0.2620
2600    0.2810
2800    0.2980
