# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 06:47:27 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
8.9,-4.5,1257217361.22409,300.739,1.176504513476836e-09,2.359338562755697e-90
17.8,-4.49911,1259113673.251861,301.479,1.1782790830369163e-09,3.099532313261167e-90
26.7,-4.49822,1261012469.629778,302.22,1.180055977452865e-09,4.271044406122626e-90
35.6,-4.49733,1262913752.971348,302.962,1.1818351991704037e-09,6.154868483394495e-90
44.5,-4.49644,1264817525.891799,303.705,1.183616750636861e-09,9.222771049097421e-90
53.4,-4.49555,1266723791.008064,304.449,1.1854006343011677e-09,1.4269223072999753e-89
62.3,-4.49466,1268632550.9388,305.195,1.1871868526138605e-09,2.263530445754246e-89
71.2,-4.49377,1270543808.304369,305.941,1.1889754080270779e-09,3.658884599727398e-89
80.1,-4.49288,1272457565.726851,306.689,1.190766302994562e-09,5.996992435420618e-89
89.0,-4.49199,1274373825.830037,307.438,1.1925595399716578e-09,9.928686921290548e-89
97.9,-4.4911,1276292591.239428,308.188,1.194355121415311e-09,1.6557676119598867e-88
106.8,-4.49021,1278213864.582239,308.939,1.1961530497840684e-09,2.775624169928317e-88
115.7,-4.48932,1280137648.487394,309.691,1.1979533275380796e-09,4.6700646618044786e-88
124.6,-4.48843,1282063945.585525,310.445,1.199755957139092e-09,7.877856715705869e-88
133.5,-4.48754,1283992758.508978,311.199,1.201560941050454e-09,1.331258890553667e-87
142.4,-4.48665,1285924089.891804,311.955,1.203368281737113e-09,2.2522717717611584e-87
151.3,-4.48576,1287857942.369764,312.711,1.205177981665615e-09,3.8131196421295817e-87
160.2,-4.48487,1289794318.580328,313.469,1.2069900433041047e-09,6.45779625050133e-87
169.1,-4.48398,1291733221.16267,314.228,1.2088044691223228e-09,1.093725990275166e-86
178.0,-4.48309,1293674652.757672,314.988,1.2106212615916081e-09,1.852053732666643e-86
186.9,-4.4822,1295618616.007924,315.75,1.2124404231848964e-09,3.135007308751606e-86
195.8,-4.48131,1297565113.557718,316.512,1.2142619563767187e-09,5.303916820491613e-86
204.7,-4.48042,1299514148.053054,317.276,1.2160858636432006e-09,8.967519205555056e-86
213.6,-4.47953,1301465722.141634,318.04,1.2179121474620648e-09,1.5150202026207538e-85
222.5,-4.47864,1303419838.472863,318.806,1.2197408103126257e-09,2.557378939256326e-85
231.4,-4.47775,1305376499.697853,319.573,1.2215718546757928e-09,4.312886839972095e-85
240.3,-4.47686,1307335708.469414,320.341,1.2234052830340688e-09,7.266208181524461e-85
