# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_BWS41677.txt 
# execution date and time: 2024/05/24 08:35:54 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
0.902,-1.8,64418664.949243,300.057,1.2889431244630302e-11,7.996874122315851e-92
1.804,-1.799098,64782788.454094,300.113,1.2962288154720289e-11,8.051136375472795e-92
2.706,-1.798196,65148786.088843,300.171,1.3035520056569142e-11,8.106073336510586e-92
3.608,-1.797294,65516666.367697,300.228,1.3109128653771103e-11,8.161695328485251e-92
4.51,-1.796392,65886437.836948,300.286,1.3183115656340873e-11,8.218012861729143e-92
5.412,-1.79549,66258109.075063,300.344,1.325748278073047e-11,8.275036637737932e-92
6.314,-1.794588,66631688.692765,300.403,1.3332231749846133e-11,8.332777553143701e-92
7.216,-1.793686,67007185.333117,300.461,1.340736429306517e-11,8.391246703789341e-92
8.118,-1.792784,67384607.67161,300.521,1.3482882146252892e-11,8.450455388886377e-92
9.02,-1.791882,67763964.416242,300.58,1.3558787051779457e-11,8.510415115282807e-92
9.922,-1.79098,68145264.307607,300.64,1.3635080758536804e-11,8.57113760181723e-92
10.824,-1.790078,68528516.118978,300.7,1.3711765021955507e-11,8.632634783786222e-92
11.726,-1.789176,68913728.656391,300.761,1.3788841604021705e-11,8.69491881751061e-92
12.628,-1.788274,69300910.75873,300.821,1.3866312273293999e-11,8.758002085011716e-92
13.53,-1.787372,69690071.29781,300.883,1.3944178804920359e-11,8.821897198795014e-92
14.432,-1.78647,70081219.178464,300.944,1.4022442980654976e-11,8.886617006751688e-92
15.334,-1.785568,70474363.338627,301.006,1.4101106588875262e-11,8.952174597171672e-92
16.236,-1.784666,70869512.749417,301.068,1.4180171424598658e-11,9.018583303880635e-92
17.138,-1.783764,71266676.415224,301.131,1.4259639289499622e-11,9.08585671149343e-92
18.04,-1.782862,71665863.373793,301.194,1.4339511991926486e-11,9.154008660797629e-92
18.942,-1.78196,72067082.696307,301.257,1.4419791346918387e-11,9.223053254266928e-92
19.844,-1.781058,72470343.487474,301.32,1.4500479176222159e-11,9.293004861697865e-92
20.746,-1.780156,72875654.885609,301.384,1.4581577308309264e-11,9.363878125996552e-92
21.648,-1.779254,73283026.062721,301.449,1.466308757839268e-11,9.435687969090804e-92
22.55,-1.778352,73692466.224595,301.513,1.4745011828443817e-11,9.508449597992985e-92
23.452,-1.77745,74103984.610878,301.579,1.482735190720941e-11,9.582178511007788e-92
24.354,-1.776548,74517590.495163,301.644,1.491010967022844e-11,9.656890504088693e-92
25.256,-1.775646,74933293.185075,301.71,1.4993286979849016e-11,9.732601677355301e-92
26.158,-1.774744,75351102.022353,301.776,1.507688570524531e-11,9.809328441757942e-92
27.06,-1.773842,75771026.382934,301.842,1.5160907722434408e-11,9.887087525919524e-92
27.962,-1.77294,76193075.677043,301.909,1.5245354914293215e-11,9.96589598313008e-92
28.864,-1.772038,76617259.349269,301.977,1.5330229170575386e-11,1.0045771198526225e-91
29.766,-1.771136,77043586.878658,302.044,1.5415532387928187e-11,1.0126730896439028e-91
30.668,-1.770234,77472067.778789,302.112,1.5501266469909366e-11,1.0208793147923851e-91
31.57,-1.769332,77902711.597865,302.181,1.5587433327004034e-11,1.029197637847949e-91
32.472,-1.76843,78335527.918795,302.249,1.567403487664158e-11,1.0376299375957355e-91
33.374,-1.767528,78770526.359279,302.318,1.5761073043212514e-11,1.0461781298664403e-91
34.276,-1.766626,79207716.571888,302.388,1.5848549758085316e-11,1.0548441683670034e-91
35.178,-1.765724,79647108.244155,302.458,1.593646695962335e-11,1.0636300455323577e-91
36.08,-1.764822,80088711.098656,302.528,1.6024826593201665e-11,1.0725377933972287e-91
36.982,-1.76392,80532534.893092,302.599,1.61136306112239e-11,1.0815694844917004e-91
37.884,-1.763018,80978589.420379,302.67,1.620288097313906e-11,1.0907272327574131e-91
38.786,-1.762116,81426884.508724,302.741,1.6292579645458433e-11,1.1000131944881182e-91
39.688,-1.761214,81877430.021718,302.813,1.6382728601772365e-11,1.1094295692930432e-91
40.59,-1.760312,82330235.858413,302.886,1.6473329822767095e-11,1.1189786010855934e-91
41.492,-1.75941,82785311.953411,302.958,1.65643852962416e-11,1.1286625790960858e-91
42.394,-1.758508,83242668.276944,303.031,1.6655897017124358e-11,1.1384838389110772e-91
43.296,-1.757606,83702314.834961,303.105,1.67478669874902e-11,1.148444763538723e-91
