# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
117.6,-4.47697,359817851.849984,309.954,1.2231785503281877e-09,5.628054901032656e-88
120.05,-4.47648,360115039.682505,310.166,1.2241888219983929e-09,6.518515918590384e-88
122.5,-4.47599,360412440.405237,310.378,1.2251998173757142e-09,7.551516315011501e-88
124.95,-4.4755,360710054.140224,310.59,1.226211536875031e-09,8.749989911997146e-88
127.4,-4.47501,361007881.009551,310.802,1.2272239809113667e-09,1.0140569704640326e-87
129.85,-4.47452,361305921.135348,311.014,1.2282371498998932e-09,1.1754185079797018e-87
132.3,-4.47403,361604174.639788,311.226,1.2292510442559271e-09,1.3626755438107996e-87
134.75,-4.47354,361902641.645086,311.439,1.230265664394932e-09,1.579999576654361e-87
137.2,-4.47305,362201322.273499,311.652,1.2312810107325167e-09,1.8322352211685256e-87
139.65,-4.47256,362500216.647329,311.865,1.2322970836844362e-09,2.12500886095496e-87
142.1,-4.47207,362799324.88892,312.078,1.2333138836665925e-09,2.464854830011982e-87
144.55,-4.47158,363098647.120659,312.291,1.2343314110950332e-09,2.8593619468620203e-87
147.0,-4.47109,363398183.464977,312.505,1.235349666385951e-09,3.3173436797770906e-87
149.45,-4.4706,363697934.044345,312.719,1.2363686499556856e-09,3.849035748627393e-87
151.9,-4.47011,363997898.981281,312.933,1.2373883622207222e-09,4.466325580542207e-87
154.35,-4.46962,364298078.398343,313.147,1.2384088035976915e-09,5.183018746307375e-87
156.8,-4.46913,364598472.418133,313.361,1.2394299745033712e-09,6.015148327938709e-87
159.25,-4.46864,364899081.163294,313.575,1.2404518753546832e-09,6.981334123329926e-87
161.7,-4.46815,365199904.756516,313.79,1.2414745065686971e-09,8.103199702372565e-87
164.15,-4.46766,365500943.320527,314.005,1.2424978685626269e-09,9.405856614933092e-87
166.6,-4.46717,365802196.978102,314.22,1.2435219617538323e-09,1.091846654288191e-86
169.05,-4.46668,366103665.852057,314.435,1.24454678655982e-09,1.2674893918820097e-86
171.5,-4.46619,366405350.06525,314.65,1.2455723433982407e-09,1.4714463541385185e-86
173.95,-4.4657,366707249.740584,314.865,1.2465986326868918e-09,1.708284004506547e-86
176.4,-4.46521,367009365.001003,315.081,1.2476256548437164e-09,1.9833048782532213e-86
178.85,-4.46472,367311695.969494,315.297,1.2486534102868025e-09,2.302666080886298e-86
181.3,-4.46423,367614242.769088,315.513,1.2496818994343844e-09,2.6735168288268813e-86
183.75,-4.46374,367917005.522858,315.729,1.2507111227048404e-09,3.104158085477974e-86
186.2,-4.46325,368219984.35392,315.945,1.251741080516697e-09,3.6042278340814926e-86
188.65,-4.46276,368523179.385432,316.162,1.2527717732886243e-09,4.1849160948621815e-86
191.1,-4.46227,368826590.740597,316.379,1.253803201439437e-09,4.85921445028798e-86
193.55,-4.46178,369130218.542657,316.596,1.2548353653880973e-09,5.642205603165969e-86
196.0,-4.46129,369434062.914901,316.813,1.2558682655537116e-09,6.551399374354952e-86
198.45,-4.4608,369738123.980658,317.03,1.2569019023555315e-09,7.607122569333957e-86
200.9,-4.46031,370042401.863301,317.247,1.257936276212954e-09,8.832971327989924e-86
203.35,-4.45982,370346896.686244,317.465,1.2589713875455225e-09,1.0256335945591987e-85
205.8,-4.45933,370651608.572946,317.683,1.2600072367729238e-09,1.1909009744848372e-85
208.25,-4.45884,370956537.646908,317.901,1.2610438243149917e-09,1.382789542381186e-85
210.7,-4.45835,371261684.031672,318.119,1.262081150591703e-09,1.6055824442234236e-85
213.15,-4.45786,371567047.850825,318.337,1.2631192160231825e-09,1.864250748616557e-85
215.6,-4.45737,371872629.227996,318.556,1.2641580210296967e-09,2.1645636920781788e-85
218.05,-4.45688,372178428.286856,318.774,1.2651975660316602e-09,2.5132165466840278e-85
220.5,-4.45639,372484445.151119,318.993,1.266237851449632e-09,2.9179789188576217e-85
222.95,-4.4559,372790679.944542,319.212,1.2672788777043144e-09,3.387866734371729e-85
225.4,-4.45541,373097132.790925,319.432,1.2683206452165558e-09,3.933341681578894e-85
227.85,-4.45492,373403803.814108,319.651,1.2693631544073498e-09,4.5665424836619703e-85
230.3,-4.45443,373710693.137978,319.871,1.2704064056978358e-09,5.301553064192757e-85
232.75,-4.45394,374017800.886461,320.09,1.271450399509295e-09,6.154713473447332e-85
235.2,-4.45345,374325127.183527,320.31,1.2724951362631567e-09,7.144980373008616e-85
237.65,-4.45296,374632672.153189,320.53,1.2735406163809936e-09,8.294344953197044e-85
240.1,-4.45247,374940435.919502,320.751,1.2745868402845222e-09,9.628317404924738e-85
242.55,-4.45198,375248418.606563,320.971,1.2756338083956068e-09,1.1176488511414765e-84
245.0,-4.45149,375556620.338513,321.192,1.2766815211362526e-09,1.297318059678433e-84
247.45,-4.451,375865041.239534,321.413,1.2777299789286117e-09,1.5058202003613825e-84
249.9,-4.45051,376173681.433852,321.634,1.2787791821949811e-09,1.7477721511569819e-84
252.35,-4.45002,376482541.045735,321.855,1.2798291313578014e-09,2.0285281701960976e-84
254.8,-4.44953,376791620.199493,322.076,1.2808798268396583e-09,2.354297327389423e-84
257.25,-4.44904,377100919.019479,322.298,1.281931269063281e-09,2.7322795790748356e-84
259.7,-4.44855,377410437.630088,322.52,1.2829834584515447e-09,3.1708234354619733e-84
262.15,-4.44806,377720176.155758,322.742,1.2840363954274692e-09,3.679608635714394e-84
264.6,-4.44757,378030134.72097,322.964,1.2850900804142166e-09,4.269857783621455e-84
267.05,-4.44708,378340313.450247,323.186,1.2861445138350954e-09,4.954581519407336e-84
269.5,-4.44659,378650712.468154,323.408,1.2871996961135578e-09,5.748862523513664e-84
271.95,-4.4461,378961331.899299,323.631,1.2882556276732005e-09,6.670184481431234e-84
274.4,-4.44561,379272171.868331,323.854,1.2893123089377641e-09,7.738813102511432e-84
276.85,-4.44512,379583232.499945,324.077,1.2903697403311339e-09,8.978237400524925e-84
279.3,-4.44463,379894513.918874,324.3,1.291427922277339e-09,1.0415680733130742e-83
281.75,-4.44414,380206016.249897,324.524,1.2924868552005538e-09,1.2082692588594023e-83
284.2,-4.44365,380517739.617833,324.747,1.2935465395250948e-09,1.4015833832479793e-83
286.65,-4.44316,380829684.147545,324.971,1.294606975675425e-09,1.6257470121010101e-83
289.1,-4.44267,381141849.963937,325.195,1.2956681640761492e-09,1.885669049323449e-83
291.55,-4.44218,381454237.191957,325.419,1.2967301051520179e-09,2.1870370819627374e-83
294.0,-4.44169,381766845.956594,325.643,1.2977927993279255e-09,2.536440486618863e-83
296.45,-4.4412,382079676.38288,325.868,1.2988562470289087e-09,2.9415129295185506e-83
298.9,-4.44071,382392728.595888,326.092,1.2999204486801508e-09,3.411097304101644e-83
301.35,-4.44022,382706002.720737,326.317,1.300985404706977e-09,3.955436625861481e-83
303.8,-4.43973,383019498.882583,326.542,1.302051115534857e-09,4.586394954162425e-83
306.25,-4.43924,383333217.20663,326.768,1.3031175815894043e-09,5.3177130463500085e-83
308.7,-4.43875,383647157.818119,326.993,1.3041848032963766e-09,6.1653041839105844e-83
311.15,-4.43826,383961320.842336,327.219,1.3052527810816745e-09,7.147596459061602e-83
313.6,-4.43777,384275706.404611,327.444,1.3063215153713424e-09,8.285928790616215e-83
316.05,-4.43728,384590314.630312,327.67,1.3073910065915702e-09,9.60500907068572e-83
318.5,-4.43679,384905145.644853,327.896,1.3084612551686892e-09,1.1133444152291328e-82
320.95,-4.4363,385220199.573688,328.123,1.3095322615291754e-09,1.2904352899408842e-82
323.4,-4.43581,385535476.542314,328.349,1.3106040260996475e-09,1.4956075266744757e-82
325.85,-4.43532,385850976.676271,328.576,1.3116765493068695e-09,1.7332992392759586e-82
328.3,-4.43483,386166700.10114,328.803,1.312749831577747e-09,2.008647501788744e-82
330.75,-4.43434,386482646.942545,329.03,1.3138238733393298e-09,2.3275980228640396e-82
333.2,-4.43385,386798817.326151,329.257,1.3148986750188122e-09,2.697031963290329e-82
335.65,-4.43336,387115211.377667,329.485,1.3159742370435304e-09,3.124912565617045e-82
338.1,-4.43287,387431829.222842,329.712,1.317050559840964e-09,3.6204546786753457e-82
340.55,-4.43238,387748670.98747,329.94,1.3181276438387369e-09,4.1943207375094936e-82
343.0,-4.43189,388065736.797384,330.168,1.3192054894646158e-09,4.858847310665201e-82
345.45,-4.4314,388383026.778462,330.396,1.3202840971465106e-09,5.628306963245353e-82
