# --------------- PyTT output file ------------------ 
# input file: Simulations/NorthStar.txt 
# execution date and time: 2025/03/04 12:10:59 
# Particle: Electron   Material: Tungsten 
# EdepMethod: dEdxValue 
# dEdx: 5.057964172279568 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.10040634047116702 
# --------------------------------------------------- 
Time[us],Npart0,Npart1,Npart2,MaxTemp0[K],MaxTemp1[K],MaxTemp2[K],SEMcurr0[uA],SEMcurr1[uA],SEMcurr2[uA],THcurrTHcurr0[uA],THcurr1[uA],THcurr2[uA],
0.0,47478034619.0,48595294940.0,47478034619.0,329.0,329.7,329.0,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.757328443517819e-58,2.428943023482016e-58,1.757328443517819e-58
1000.0,47478034619.0,48595294940.0,47478034619.0,357.7,359.1,357.7,-7.606835750587948,-7.785840964761888,-7.606835750587948,5.704259570952166e-53,9.89651967153837e-53,5.704259570952166e-53
2000.0,47478034619.0,48595294940.0,47478034619.0,386.2,388.2,386.2,-7.606835750587948,-7.785840964761888,-7.606835750587948,2.862504539604174e-48,5.797300995405524e-48,2.862504539604174e-48
3000.0,47478034619.0,48595294940.0,47478034619.0,414.4,417.1,414.4,-7.606835750587948,-7.785840964761888,-7.606835750587948,3.1421463733350403e-44,7.07983280016212e-44,3.1421463733350403e-44
4000.0,47478034619.0,48595294940.0,47478034619.0,442.5,445.8,442.5,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.0336319776456806e-40,2.5138200034944107e-40,1.0336319776456806e-40
5000.0,47478034619.0,48595294940.0,47478034619.0,470.5,474.5,470.5,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.2880851569938176e-37,3.3013256561430365e-37,1.2880851569938176e-37
6000.0,47478034619.0,48595294940.0,47478034619.0,498.4,503.0,498.4,-7.606835750587948,-7.785840964761888,-7.606835750587948,7.105008271708872e-35,1.8826344725201462e-34,7.105008271708872e-35
7000.0,47478034619.0,48595294940.0,47478034619.0,526.1,531.4,526.1,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.973642248557694e-32,5.336226568099991e-32,1.973642248557694e-32
8000.0,47478034619.0,48595294940.0,47478034619.0,553.7,559.6,553.7,-7.606835750587948,-7.785840964761888,-7.606835750587948,3.0585291048090976e-30,8.35690984857713e-30,3.0585291048090976e-30
9000.0,47478034619.0,48595294940.0,47478034619.0,581.1,587.6,581.1,-7.606835750587948,-7.785840964761888,-7.606835750587948,2.8827795626566286e-28,7.905976436882015e-28,2.8827795626566286e-28
10000.0,47478034619.0,48595294940.0,47478034619.0,608.4,615.5,608.4,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.779423707604329e-26,4.8881325288975295e-26,1.779423707604329e-26
11000.0,47478034619.0,48595294940.0,47478034619.0,635.7,643.3,635.7,-7.606835750587948,-7.785840964761888,-7.606835750587948,7.665010780448864e-25,2.096458628633466e-24,7.665010780448864e-25
12000.0,47478034619.0,48595294940.0,47478034619.0,662.7,671.0,662.7,-7.606835750587948,-7.785840964761888,-7.606835750587948,2.397538009944728e-23,6.509416554495628e-23,2.397538009944728e-23
13000.0,47478034619.0,48595294940.0,47478034619.0,689.7,698.6,689.7,-7.606835750587948,-7.785840964761888,-7.606835750587948,5.663819789047984e-22,1.5232838040267942e-21,5.663819789047984e-22
14000.0,47478034619.0,48595294940.0,47478034619.0,716.5,726.0,716.5,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.0446992168280952e-20,2.7790285481401113e-20,1.0446992168280952e-20
15000.0,47478034619.0,48595294940.0,47478034619.0,743.3,753.4,743.3,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.5553960238475884e-19,4.1015171046108426e-19,1.5553960238475884e-19
16000.0,47478034619.0,48595294940.0,47478034619.0,770.1,780.8,770.1,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.92066210423585e-18,5.0150857158086475e-18,1.92066210423585e-18
17000.0,47478034619.0,48595294940.0,47478034619.0,796.8,808.0,796.8,-7.606835750587948,-7.785840964761888,-7.606835750587948,2.004693009875961e-17,5.139029207476868e-17,2.004693009875961e-17
18000.0,47478034619.0,48595294940.0,47478034619.0,823.1,834.9,823.1,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.7567521787936033e-16,4.425917294675793e-16,1.7567521787936033e-16
19000.0,47478034619.0,48595294940.0,47478034619.0,849.3,861.7,849.3,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.3305032819723428e-15,3.307283365437985e-15,1.3305032819723428e-15
20000.0,47478034619.0,48595294940.0,47478034619.0,875.4,888.3,875.4,-7.606835750587948,-7.785840964761888,-7.606835750587948,8.875832979403575e-15,2.176560631328201e-14,8.875832979403575e-15
21000.0,47478034619.0,48595294940.0,47478034619.0,901.4,914.9,901.4,-7.606835750587948,-7.785840964761888,-7.606835750587948,5.276851360355665e-14,1.276623053591412e-13,5.276851360355665e-14
22000.0,47478034619.0,48595294940.0,47478034619.0,927.3,941.3,927.3,-7.606835750587948,-7.785840964761888,-7.606835750587948,2.824623726040658e-13,6.738251690492396e-13,2.824623726040658e-13
23000.0,47478034619.0,48595294940.0,47478034619.0,953.0,967.5,953.0,-7.606835750587948,-7.785840964761888,-7.606835750587948,1.3722869086705563e-12,3.228137805686128e-12,1.3722869086705563e-12
24000.0,47478034619.0,48595294940.0,47478034619.0,978.6,993.7,978.6,-7.606835750587948,-7.785840964761888,-7.606835750587948,6.099935631922494e-12,1.4153109430119182e-11,6.099935631922494e-12
