# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:30:10 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
0.49,-4.5,69217585.056158,300.041,1.176504513476836e-09,1.9078657464225065e-90
0.98,-4.49951,69275048.828752,300.081,1.1774812361949651e-09,1.9298124469808418e-90
1.47,-4.49902,69332554.041916,300.122,1.1784586632863788e-09,1.952288692293331e-90
1.96,-4.49853,69390100.719653,300.163,1.1794367951590518e-09,1.975309398732014e-90
2.45,-4.49804,69447688.885973,300.204,1.1804156322211064e-09,1.9988899350683005e-90
2.94,-4.49755,69505318.564897,300.245,1.1813951748808124e-09,2.0230461368539063e-90
3.43,-4.49706,69562989.780453,300.285,1.1823754235465868e-09,2.0477943212746292e-90
3.92,-4.49657,69620702.556679,300.326,1.1833563786269934e-09,2.0731513024933913e-90
4.41,-4.49608,69678456.917619,300.367,1.1843380405307458e-09,2.0991344074993108e-90
4.9,-4.49559,69736252.887329,300.408,1.1853204096667016e-09,2.125761492479599e-90
5.39,-4.4951,69794090.489872,300.449,1.1863034864438684e-09,2.153050959731912e-90
5.88,-4.49461,69851969.749319,300.49,1.1872872712714002e-09,2.181021775136265e-90
6.37,-4.49412,69909890.689752,300.531,1.1882717645585972e-09,2.2096934862043186e-90
6.86,-4.49363,69967853.335259,300.573,1.1892569667149095e-09,2.2390862407267673e-90
7.35,-4.49314,70025857.709938,300.614,1.1902428781499318e-09,2.2692208060385457e-90
7.84,-4.49265,70083903.837896,300.655,1.1912294992734071e-09,2.3001185889232155e-90
8.33,-4.49216,70141991.743248,300.696,1.192216830495226e-09,2.331801656177768e-90
8.82,-4.49167,70200121.450117,300.737,1.1932048722254258e-09,2.3642927558612666e-90
9.31,-4.49118,70258292.982637,300.779,1.1941936248741907e-09,2.397615339249798e-90
9.8,-4.49069,70316506.364948,300.82,1.1951830888518527e-09,2.4317935835221686e-90
10.29,-4.4902,70374761.621201,300.861,1.1961732645688902e-09,2.4668524152017483e-90
10.78,-4.48971,70433058.775553,300.903,1.1971641524359287e-09,2.502817534379206e-90
11.27,-4.48922,70491397.852171,300.944,1.1981557528637415e-09,2.5397154397443903e-90
11.76,-4.48873,70549778.875232,300.986,1.1991480662632478e-09,2.577573454453448e-90
12.25,-4.48824,70608201.86892,301.027,1.200141093045515e-09,2.6164197528611895e-90
12.74,-4.48775,70666666.857428,301.069,1.2011348336217565e-09,2.6562833881476674e-90
13.23,-4.48726,70725173.864957,301.11,1.2021292884033326e-09,2.6971943208695754e-90
13.72,-4.48677,70783722.915718,301.152,1.2031244578017509e-09,2.739183448468635e-90
14.21,-4.48628,70842314.03393,301.193,1.2041203422286657e-09,2.78228263576941e-90
