# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
20.47,-4.48042,129951414.805305,301.728,1.2160858636432006e-09,3.4448290424737845e-90
21.36,-4.47953,130146572.214163,301.804,1.217912147462065e-09,3.5590176931508424e-90
22.25,-4.47864,130341983.847286,301.881,1.219740810312626e-09,3.679003125313484e-90
23.14,-4.47775,130537649.969785,301.957,1.2215718546757928e-09,3.805109184338704e-90
24.03,-4.47686,130733570.846941,302.034,1.2234052830340688e-09,3.937678776035616e-90
24.92,-4.47597,130929746.744206,302.111,1.225241097871548e-09,4.077075030116815e-90
25.81,-4.47508,131126177.927201,302.188,1.2270793016739173e-09,4.223682536751786e-90
26.7,-4.47419,131322864.661717,302.265,1.2289198969284552e-09,4.377908660907022e-90
27.59,-4.4733,131519807.213716,302.343,1.2307628861240304e-09,4.540184939481787e-90
28.48,-4.47241,131717005.849329,302.42,1.2326082717511024e-09,4.71096856658322e-90
29.37,-4.47152,131914460.834859,302.498,1.23445605630172e-09,4.890743972630822e-90
30.26,-4.47063,132112172.436775,302.575,1.2363062422695212e-09,5.080024503360032e-90
31.15,-4.46974,132310140.921719,302.653,1.238158832149732e-09,5.279354205192989e-90
32.04,-4.46885,132508366.556502,302.731,1.2400138284391675e-09,5.4893097238732725e-90
32.93,-4.46796,132706849.608103,302.809,1.2418712336362286e-09,5.710502323714977e-90
33.82,-4.46707,132905590.343672,302.887,1.2437310502409035e-09,5.943580035309253e-90
34.71,-4.46618,133104589.030529,302.965,1.2455932807547663e-09,6.189229940042906e-90
35.6,-4.46529,133303845.936162,303.043,1.247457927680977e-09,6.448180600347037e-90
36.49,-4.4644,133503361.328229,303.122,1.24932499352428e-09,6.721204645182808e-90
37.38,-4.46351,133703135.474557,303.2,1.2511944807910035e-09,7.009121520897815e-90
38.27,-4.46262,133903168.643143,303.279,1.2530663919890604e-09,7.312800418276912e-90
39.16,-4.46173,134103461.102153,303.358,1.254940729627946e-09,7.6331633873168406e-90
40.05,-4.46084,134304013.119921,303.437,1.2568174962187366e-09,7.971188652030912e-90
40.94,-4.45995,134504824.96495,303.516,1.2586966942740935e-09,8.327914138420133e-90
41.83,-4.45906,134705896.905915,303.595,1.2605783263082553e-09,8.704441229605624e-90
42.72,-4.45817,134907229.211656,303.674,1.2624623948370442e-09,9.101938763081326e-90
43.61,-4.45728,135108822.151184,303.754,1.2643489023778592e-09,9.521647286023771e-90
44.5,-4.45639,135310675.993677,303.833,1.2662378514496817e-09,9.964883585687154e-90
45.39,-4.4555,135512791.008484,303.913,1.2681292445730688e-09,1.0433045513036986e-89
46.28,-4.45461,135715167.465122,303.993,1.270023084270157e-09,1.0927617119014486e-89
47.17,-4.45372,135917805.633275,304.073,1.2719193730646597e-09,1.1450174124119052e-89
48.06,-4.45283,136120705.782796,304.153,1.2738181134818666e-09,1.2002389743393478e-89
48.95,-4.45194,136323868.183708,304.233,1.2757193080486438e-09,1.25860408903875e-89
49.84,-4.45105,136527293.106201,304.313,1.277622959293432e-09,1.3203014785274332e-89
50.73,-4.45016,136730980.820633,304.393,1.279529069746247e-09,1.385531599398907e-89
51.62,-4.44927,136934931.59753,304.474,1.2814376419386774e-09,1.4545073927074237e-89
52.51,-4.44838,137139145.707589,304.554,1.2833486784038872e-09,1.5274550828885286e-89
53.4,-4.44749,137343623.421671,304.635,1.2852621816766109e-09,1.604615028986184e-89
54.29,-4.4466,137548365.010807,304.716,1.2871781542931554e-09,1.6862426316803548e-89
55.18,-4.44571,137753370.746196,304.797,1.2890965987913994e-09,1.7726092998470372e-89
56.07,-4.44482,137958640.899204,304.878,1.2910175177107912e-09,1.8640034806367588e-89
56.96,-4.44393,138164175.741366,304.959,1.2929409135923499e-09,1.960731757327821e-89
57.85,-4.44304,138369975.544383,305.04,1.2948667889786626e-09,2.0631200195029634e-89
58.74,-4.44215,138576040.580126,305.122,1.2967951464138859e-09,2.171514710407485e-89
59.63,-4.44126,138782371.12063,305.203,1.2987259884437426e-09,2.2862841566795194e-89
60.52,-4.44037,138988967.438102,305.285,1.3006593176155247e-09,2.407819985997676e-89
61.41,-4.43948,139195829.804911,305.367,1.302595136478089e-09,2.5365386385736737e-89
62.3,-4.43859,139402958.493599,305.449,1.304533447581858e-09,2.6728829788195347e-89
63.19,-4.4377,139610353.77687,305.531,1.3064742534788188e-09,2.8173240139591147e-89
64.08,-4.43681,139818015.927599,305.613,1.3084175567225247e-09,2.9703627268138504e-89
64.97,-4.43592,140025945.218826,305.695,1.3103633598680884e-09,3.132532030493511e-89
65.86,-4.43503,140234141.923759,305.778,1.3123116654721901e-09,3.304398853254308e-89
66.75,-4.43414,140442606.315772,305.86,1.3142624760930687e-09,3.486566362355361e-89
67.64,-4.43325,140651338.668407,305.943,1.3162157942905251e-09,3.6796763363540025e-89
68.53,-4.43236,140860339.255372,306.025,1.3181716226259214e-09,3.884411695935065e-89
69.42,-4.43147,141069608.350542,306.108,1.3201299636621797e-09,4.1014992040640025e-89
70.31,-4.43058,141279146.227957,306.191,1.322090819963779e-09,4.331712347002036e-89
