# ------------ Intensity Vs Time ----------- #

#   Time [us]  |  WirePos [cm]   | Intensity [mA] #
0.0   [ -0.0011, 0.0, 0.0011,  ]    [ 2.2537292486456534e-73, 2.3920572242722227e-73, 2.2537292486456534e-73,  ] 
10000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 3.4479641545677465e-72, 3.971912826423527e-72, 3.4479641545677465e-72,  ] 
20000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 6.250641849864181e-71, 7.730679602249175e-71, 6.250641849864181e-71,  ] 
30000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 1.0911936275403533e-69, 1.4393591860602006e-69, 1.0911936275403533e-69,  ] 
40000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 1.7690288388692368e-68, 2.475957098434829e-68, 1.7690288388692368e-68,  ] 
50000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 2.6393296880765595e-67, 3.901756084866589e-67, 2.6393296880765595e-67,  ] 
60000.00000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 3.6174031298187335e-66, 5.624928984079589e-66, 3.6174031298187335e-66,  ] 
70000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 4.558967270409604e-65, 7.428256608417926e-65, 4.558967270409604e-65,  ] 
80000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 5.294855973647941e-64, 9.008563062170459e-64, 5.294855973647941e-64,  ] 
90000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 5.682187473493674e-63, 1.0061578179261867e-62, 5.682187473493674e-63,  ] 
99999.99999999999   [ -0.0011, 0.0, 0.0011,  ]    [ 5.649905619268937e-62, 1.038115864584237e-61, 5.649905619268937e-62,  ] 
109999.99999999999   [ -0.0011, 0.0, 0.0011,  ]    [ 5.221085828552804e-61, 9.927173936799022e-61, 5.221085828552804e-61,  ] 
119999.99999999999   [ -0.0011, 0.0, 0.0011,  ]    [ 4.4977614366385933e-60, 8.827102074026469e-60, 4.4977614366385933e-60,  ] 
129999.99999999997   [ -0.0011, 0.0, 0.0011,  ]    [ 3.6232017963916943e-59, 7.323459643000571e-59, 3.6232017963916943e-59,  ] 
140000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 2.738091900205732e-58, 5.687799873210611e-58, 2.738091900205732e-58,  ] 
150000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 1.9464666613254758e-57, 4.147090464461731e-57, 1.9464666613254758e-57,  ] 
160000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 1.3049873560670326e-56, 2.846372071462697e-56, 1.3049873560670326e-56,  ] 
170000.0   [ -0.0011, 0.0, 0.0011,  ]    [ 8.271587577158025e-56, 1.843779026226887e-55, 8.271587577158025e-56,  ] 
180000.00000000003   [ -0.0011, 0.0, 0.0011,  ]    [ 4.9717187704704845e-55, 1.1315054204536958e-54, 4.9717187704704845e-55,  ] 
190000.00000000003   [ -0.0011, 0.0, 0.0011,  ]    [ 2.8423179054618114e-54, 6.595281439068282e-54, 2.8423179054618114e-54,  ] 
200000.00000000003   [ -0.0011, 0.0, 0.0011,  ]    [ 1.548714592307191e-53, 3.6588193986774374e-53, 1.548714592307191e-53,  ] 
210000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 8.057842280191725e-53, 1.9356664648280093e-52, 8.057842280191725e-53,  ] 
220000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 4.0103739052435945e-52, 9.783822475404582e-52, 4.0103739052435945e-52,  ] 
230000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 1.912504132263819e-51, 4.733054625779922e-51, 1.912504132263819e-51,  ] 
240000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 8.753229934513476e-51, 2.195117156209397e-50, 8.753229934513476e-51,  ] 
250000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 3.8507560228480243e-50, 9.775735923875206e-50, 3.8507560228480243e-50,  ] 
260000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 1.6306723802943712e-49, 4.186366207930146e-49, 1.6306723802943712e-49,  ] 
270000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 6.654621783784009e-49, 1.725739443230384e-48, 6.654621783784009e-49,  ] 
280000.00000000006   [ -0.0011, 0.0, 0.0011,  ]    [ 2.6199257002123252e-48, 6.857094800721934e-48, 2.6199257002123252e-48,  ] 
290000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 9.963327356358275e-48, 2.6297697704516884e-47, 9.963327356358275e-48,  ] 
300000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 3.6644286243053453e-47, 9.746847488769242e-47, 3.6644286243053453e-47,  ] 
310000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 1.3049835593800727e-46, 3.4955074164710656e-46, 1.3049835593800727e-46,  ] 
320000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 4.5049356824660934e-46, 1.214399620001285e-45, 4.5049356824660934e-46,  ] 
330000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 1.509114560361967e-45, 4.091666941334241e-45, 1.509114560361967e-45,  ] 
340000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 4.9107725406236276e-45, 1.3383991343954727e-44, 4.9107725406236276e-45,  ] 
350000.0000000001   [ -0.0011, 0.0, 0.0011,  ]    [ 1.55380027431947e-44, 4.254375273726621e-44, 1.55380027431947e-44,  ] 
360000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 4.784466498002683e-44, 1.3152631963981476e-43, 4.784466498002683e-44,  ] 
370000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 1.4348577548511796e-43, 3.958312406507805e-43, 1.4348577548511796e-43,  ] 
380000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 4.194537797715524e-43, 1.1606824175750068e-42, 4.194537797715524e-43,  ] 
390000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 1.1962384804913234e-42, 3.318893821671571e-42, 1.1962384804913234e-42,  ] 
400000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 3.330839327842556e-42, 9.261981797193411e-42, 3.330839327842556e-42,  ] 
410000.0000000002   [ -0.0011, 0.0, 0.0011,  ]    [ 9.061927749084384e-42, 2.5245493682568557e-41, 9.061927749084384e-42,  ] 
420000.00000000023   [ -0.0011, 0.0, 0.0011,  ]    [ 2.4106461324819754e-41, 6.726008315001162e-41, 2.4106461324819754e-41,  ] 
430000.00000000023   [ -0.0011, 0.0, 0.0011,  ]    [ 6.274715253065613e-41, 1.752810015559305e-40, 6.274715253065613e-41,  ] 
440000.00000000023   [ -0.0011, 0.0, 0.0011,  ]    [ 1.59915804722608e-40, 4.471089725499243e-40, 1.59915804722608e-40,  ] 
